id,kodas,name
darbo_kodas_290, 2622,2 - Bibliotekininkai ir kiti informacijos specialistai
darbo_kodas_291, 2631,1 - Ekonomistai
darbo_kodas_292, 2632,"2 - Sociologai, antropologai ir giminiškų profesijų specialistai"
darbo_kodas_293, 2633,"3 - Filosofai, istorikai ir politologai"
darbo_kodas_294, 2634,4 - Psichologai
darbo_kodas_295, 2635,5 - Socialiniai darbuotojai ir konsultantai
darbo_kodas_296, 2636,6 - Religijų specialistai
darbo_kodas_297, 2641,1 - Autoriai ir kiti rašytojai
darbo_kodas_298, 2642,2 - Žurnalistai
darbo_kodas_299, 2643,3 - Vertėjai ir kalbininkai
darbo_kodas_300, 2651,1 - Regimojo meno kūrėjai ir atlikėjai
darbo_kodas_301, 2652,"2 - Muzikantai, dainininkai ir kompozitoriai"
darbo_kodas_302, 2653,3 - Šokėjai ir choreografai
darbo_kodas_303, 2654,"4 - Kino, teatro ir panašių sričių režisieriai ir prodiuseriai"
darbo_kodas_304, 2655,5 - Aktoriai
darbo_kodas_305, 2656,"6 - Radijo, televizijos ir kitų informacijos sklaidos priemonių diktoriai"
darbo_kodas_306, 2659,9 - Kitur nepriskirti kūrybiniai darbuotojai ir atlikėjai
darbo_kodas_307, 3111,1 - Chemijos ir kitų fizinių mokslų technikai
darbo_kodas_308, 3112,2 - Statybos inžinerijos technikai
darbo_kodas_309, 3113,3 - Elektros inžinerijos technikai
darbo_kodas_310, 3114,4 - Elektronikos inžinerijos technikai
darbo_kodas_311, 3115,5 - Mechanikos inžinerijos technikai
darbo_kodas_312, 3116,6 - Cheminės inžinerijos technikai
darbo_kodas_313, 3117,7 - Gavybos ir metalurgijos technikai
darbo_kodas_314, 3118,8 - Braižytojai
darbo_kodas_315, 3119,9 - Kitur nepriskirti fizinių mokslų ir inžinerijos technikai
darbo_kodas_316, 3121,1 - Gavybos darbų meistrai ir brigadininkai
darbo_kodas_317, 3122,2 - Gamybos darbų meistrai ir brigadininkai
darbo_kodas_318, 3123,3 - Statybos darbų meistrai ir brigadininkai
darbo_kodas_319, 3123,3 - Construction supervisors
darbo_kodas_320, 3131,1 - Elektrinių operatoriai
darbo_kodas_321, 3132,2 - Atliekų deginimo ir vandens valymo įrenginių operatoriai
darbo_kodas_322, 3133,3 - Cheminio apdorojimo įrenginių valdymo operatoriai
darbo_kodas_323, 3134,4 - Naftos ir gamtinių dujų perdirbimo įrenginių operatoriai
darbo_kodas_324, 3135,5 - Metalurgijos technologinių procesų valdymo įrangos operatoriai
darbo_kodas_325, 3139,9 - Kitur nepriskirti technologinių procesų valdymo technikai
darbo_kodas_326, 3141,1 - Gyvosios gamtos mokslų technikai (išskyrus medicinos ir patologijos laboratorijų technikus)
darbo_kodas_327, 3142,2 - Žemės ūkio technikai
darbo_kodas_328, 3143,3 - Jaunesnieji miškų ūkio specialistai
darbo_kodas_329, 3151,1 - Laivų mechanikai
darbo_kodas_330, 3152,2 - Laivavedžiai ir laivų kapitonai
darbo_kodas_331, 3153,3 - Orlaivių pilotai ir kiti giminiškų profesijų specialistai
darbo_kodas_332, 3154,4 - Skrydžių vadovai
darbo_kodas_333, 3155,5 - Skrydžių saugos elektronikos technikai
darbo_kodas_334, 3211,1 - Medicininio vizualizavimo ir medicininės įrangos technikai
darbo_kodas_335, 3212,2 - Medicinos ir patologijos laboratorijų technikai
darbo_kodas_336, 3213,3 - Farmacijos technikai ir vaistininkų padėjėjai
darbo_kodas_337, 3214,4 - Medicinos ir dantų technikai
darbo_kodas_338, 3221,1 - Jaunesnieji slaugos specialistai
darbo_kodas_339, 3222,2 - Jaunesnieji akušerijos specialistai
darbo_kodas_340, 3230,0 - Jaunesnieji tradicinės ir liaudies medicinos specialistai
darbo_kodas_341, 3240,0 - Veterinarijos technikai ir felčeriai
darbo_kodas_342, 3251,1 - Gydytojo odontologo padėjėjai ir burnos higienistai
darbo_kodas_343, 3252,2 - Medicininių įrašų ir sveikatos informacijos technikai
darbo_kodas_344, 3253,3 - Visuomenės sveikatos priežiūros darbuotojai
darbo_kodas_345, 3254,4 - Optikai
darbo_kodas_346, 3255,5 - Fizioterapijos technikai ir fizioterapeutų padėjėjai
darbo_kodas_347, 3256,6 - Gydytojo padėjėjai
darbo_kodas_348, 3257,7 - Aplinkos ir profesinės sveikatos inspektoriai ir darbuotojai
darbo_kodas_349, 3258,8 - Skubiosios medicinos pagalbos darbuotojai
darbo_kodas_350, 3259,9 - Kitur nepriskirti jaunesnieji sveikatos specialistai
darbo_kodas_351, 3311,1 - Vertybinių popierių ir finansų makleriai ir brokeriai
darbo_kodas_352, 3312,2 - Kreditų ir paskolų specialistai
darbo_kodas_353, 3313,3 - Jaunesnieji apskaitos specialistai
darbo_kodas_354, 3314,"4 - Statistikai, matematikai ir jaunesnieji giminiškų profesijų specialistai"
darbo_kodas_355, 3315,5 - Nuostolių ir kiti vertintojai
darbo_kodas_356, 3321,1 - Draudimo agentai
darbo_kodas_357, 3322,2 - Pardavimo atstovai
darbo_kodas_358, 3323,3 - Pirkimo specialistai
darbo_kodas_359, 3324,4 - Prekybos brokeriai
